sciName,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Sillago ciliata,Sillaginidae,active,3.36,2.14581,570,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,38,229,Sillcili
Sillago maculata,Sillaginidae,active,3.52,0.957405,554,hunting macrofauna (predator),benthic invertivore,demersal,tropical,elongated,53,205,Sillmacu
Sillago sp.,Sillaginidae,active,,,,hunting macrofauna (predator),benthic invertivore,demersal,tropical,elongated;fusiform / normal,,,Sillsp
Solea solea,Soleidae,active;ambush,3.299999952,1.39786,556,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,short and / or deep,49,147,Solesole
Solea sp.,Soleidae,active;ambush,,,,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,short and / or deep,,,Solesp
Sparisoma rubripinne,Labridae,active,2,1.19765,583,browsing on substrate,scraping herbivore,demersal,tropical,fusiform / normal,28,142,Sparrubr
Sparisoma viride,Labridae,active,2,1.12955,561,browsing on substrate,scraping herbivore,demersal,tropical,fusiform / normal,39,224,Sparviri
Sparus aurata,Sparidae,active,3.39,1.38933,596,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,22,229,Sparaura
Sparus sp.,Sparidae,active,,,,hunting macrofauna (predator),higher carnivore,demersal,subtropical;tropical,fusiform / normal,,,Sparsp
Sphoeroides maculatus,Tetraodontidae,active,4.04,nan,nan,hunting macrofauna (predator),benthic invertivore;higher carnivore,pelagic non-site attached,temperate,short and / or deep,nan,nan,Sphomacu
Sphoeroides nephelus,Tetraodontidae,active,3.5,nan,nan,hunting macrofauna (predator),benthic invertivore,benthic,tropical,short and / or deep,nan,nan,Sphoneph
Sphoeroides testudineus,Tetraodontidae,active,3.4,1.42214,586,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,tropical,fusiform / normal,27,151,Sphotest
Sphyraena barracuda,Sphyraenidae,active,4.5,2.45371,610.5,hunting macrofauna (predator),higher carnivore,demersal;pelagic non-site attached,tropical,elongated,15,106,Sphybarr
Sphyraena borealis,Sphyraenidae,active,nan,1.73483,541,hunting macrofauna (predator),higher carnivore,demersal,subtropical;temperate,elongated,52,83,Sphybore
Sphyraena obtusata,Sphyraenidae,active,nan,2.79384,613,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,tropical,elongated,16,217,Sphyobtu
Spinachia spinachia,Gasterosteidae,active,3.5,1.60243,573,variable,benthic invertivore;planktivore,demersal,temperate,elongated,nan,nan,Spinspin
Spondyliosoma cantharus,Sparidae,active,3.27,1.93958,615,variable,omnivore,demersal,subtropical,fusiform / normal,12,191,Sponcant
Sprattus sprattus,Clupeidae,active,3.01,1.58155,596,selective plankton feeding,planktivore,pelagic non-site attached,subtropical;temperate,fusiform / normal,nan,nan,Spraspra
Stephanolepis hispidus,Monacanthidae,active,2.76,1.26543,532,grazing on aquatic plants,benthic invertivore,demersal,tropical,short and / or deep,57,225,Stephisp
Stigmatopora argus,Syngnathidae,ambush,nan,nan,nan,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,eel-like,nan,nan,Stigargu
Strongylura exilis,Belonidae,active,4.5,1.4518,582,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,temperate;tropical,elongated,nan,nan,Stroexil
Strongylura marina,Belonidae,active,3.78,1.34209,616,hunting macrofauna (predator),higher carnivore,pelagic non-site attached,tropical,elongated,nan,nan,Stromari
Symphodus cinereus,Labridae,active,3.3,1.53336,581,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,20,191,Sympcine
Symphodus melops,Labridae,active,3.32,1.34099,573,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,22,190,Sympmelo
Symphodus ocellatus,Labridae,active,3.339999914,1.13243,594,variable,benthic invertivore,demersal,subtropical,fusiform / normal,19,203,Sympocel
Symphodus tinca,Labridae,active,3.230000019,1.65376,583,hunting macrofauna (predator),higher carnivore,demersal,subtropical,fusiform / normal,24,196,Symptinc
Symphorus nematophorus,Lutjanidae,active,4.18,1.32518,572.5,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,23,173,Sympnema
Syngnathus abaster,Syngnathidae,ambush,3.2,nan,nan,selective plankton feeding,benthic invertivore;planktivore,demersal,temperate,eel-like,nan,nan,Syngabas
Syngnathus acus,Syngnathidae,ambush,3.52,nan,nan,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,subtropical,eel-like,nan,nan,Syngacus
Syngnathus floridae,Syngnathidae,ambush,3.32,nan,nan,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,tropical,eel-like,nan,nan,Syngflor
Syngnathus fuscus,Syngnathidae,ambush,3.13,nan,nan,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,temperate,eel-like,nan,nan,Syngfusc
Syngnathus leptorhynchus,Syngnathidae,ambush,3.24000001,nan,nan,hunting macrofauna (predator),benthic invertivore;planktivore,demersal,boreal;subtropical;temperate,eel-like,nan,nan,Synglept
Syngnathus sp.,Syngnathidae,ambush,,,,selective plankton feeding,benthic invertivore;planktivore,demersal,boreal;subtropical;temperate;tropical,eel-like;other,,,Syngsp
Syngnathus typhle,Syngnathidae,ambush,3.75,nan,nan,selective plankton feeding,benthic invertivore;planktivore,demersal,temperate,eel-like,nan,nan,Syngtyph
Synodus foetens,Synodontidae,ambush,4.43,1.88281,569,hunting macrofauna (predator),higher carnivore,benthic,tropical,elongated,nan,nan,Synofoet
Synodus myops,Synodontidae,ambush,,,,hunting macrofauna (predator),higher carnivore,benthic,tropical,elongated,,,Synomyop
Takifugu niphobles,Tetraodontidae,active,3.26,1.74618,560,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal;short and / or deep,43,168,Takiniph
Taliepus dentatus,Epialtidae,active,,,,grazing on aquatic plants,omnivore,benthic,boreal;subtropical;temperate,crab,,,Talident
Taurulus bubalis,Cottidae,ambush,3.59,0.329912,613,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,temperate,fusiform / normal,nan,nan,Taurbuba
Tetractenos glaber,Tetraodontidae,active,nan,nan,nan,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal;short and / or deep,nan,nan,Tetrglab
Tetractenos hamiltoni,Tetraodontidae,active,nan,nan,nan,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical,short and / or deep,nan,nan,Tetrhami
Thalassoma bifasciatum,Labridae,active,3.49,nan,nan,selective plankton feeding,benthic invertivore,demersal,tropical,fusiform / normal,nan,nan,Thalbifa
Thalassoma sp.,Labridae,active,,,,variable,benthic invertivore;higher carnivore,demersal,subtropical;temperate;tropical,elongated;fusiform / normal,,,Thalsp
Torquigener sp.,Tetraodontidae,active,,,,hunting macrofauna (predator),benthic invertivore,demersal,subtropical;temperate;tropical,fusiform / normal;short and / or deep,,,Torqsp
Tozeuma carolinense,Hippolytidae,active,,,,grazing on aquatic plants,scraping herbivore,benthic,subtropical;tropical,shrimp,,,Tozecaro
Trachinotus blochii,Carangidae,active,3.74,3.52165,570.5,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,tropical,short and / or deep,35,233,Tracbloc
Trachinotus botla,Carangidae,active,3.21,4.97538,623,hunting macrofauna (predator),benthic invertivore,pelagic non-site attached,tropical,fusiform / normal,nan,nan,Tracbotl
Trichechus manatus,Trichechidae,active,,,,grazing on aquatic plants,browsing herbivore,benthic,subtropical;tropical,mammal,,,Tricmana
Umbrina roncador,Sciaenidae,active,3.49,1.28762,570,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,subtropical,fusiform / normal,nan,nan,Umbrronc
Upeneus tragula,Mullidae,active,3.5,1.956,609,hunting macrofauna (predator),benthic invertivore,demersal,tropical,fusiform / normal,11,184,Upentrag
Urobatis jamaicensis,Urotrygonidae,active;ambush,3.55,nan,nan,hunting macrofauna (predator),benthic invertivore,benthic,tropical,other,nan,nan,Urobjama
Urocampus carinirostris,Syngnathidae,ambush,nan,nan,596,selective plankton feeding,planktivore,demersal,tropical,eel-like,nan,nan,Uroccari
Urophycis regia,Phycidae,ambush,3.72,0.859439,589,hunting macrofauna (predator),benthic invertivore,benthic,temperate,fusiform / normal,31,168,Uropregi
Xiphister atropurpureus,Stichaeidae,ambush,3.2,1.0722285,576.5,browsing on substrate,omnivore,benthic,boreal;subtropical;temperate,eel-like,29.5,158.5,Xiphatro
Zebrasoma scopas,Acanthuridae,active,2,2.02091,525.5,browsing on substrate,browsing herbivore,demersal,tropical,short and / or deep,7,287,Zebrscop
Zosterisessor ophiocephalus,Gobiidae,ambush,3.66,0.729824,593,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic,subtropical;temperate,fusiform / normal,nan,nan,Zostophi
