#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,5,11,0,0,1.17,15.38,7.8,201,18.6
2016,5,11,0,30,1.08,15.38,6.93,191,18.6
2016,5,11,1,0,1.29,15.38,8.47,197,18.5
2016,5,11,1,30,1.15,14.29,7.24,205,18.5
2016,5,11,2,0,1.19,15.38,7.94,188,18.5
2016,5,11,3,0,1.25,16.67,8.67,192,18.4
2016,5,11,3,30,1.15,15.38,8.28,202,18.4
2016,5,11,4,0,1.19,15.38,8.22,192,18.3
2016,5,11,4,30,1.17,15.38,8.59,201,18.4
2016,5,11,5,0,1.09,14.29,8.13,202,18.4
2016,5,11,5,30,1.12,15.38,8.53,198,18.3
2016,5,11,6,0,1.02,14.29,8.08,198,18.3
2016,5,11,6,30,1.14,15.38,9.04,204,18.3
